antecedent,consequent,support,confidence
"Itemset{1 35}","Itemset{143}",0.608219,0.798561
"Itemset{1 35}","Itemset{253}",0.669863,0.879496
"Itemset{1 35 36}","Itemset{253}",0.527397,0.869074
"Itemset{1 35 117}","Itemset{143}",0.519178,0.844098
"Itemset{1 35 117}","Itemset{253}",0.535616,0.870824
"Itemset{1 35 143}","Itemset{253}",0.579452,0.875776
"Itemset{1 36}","Itemset{143}",0.545205,0.804040
"Itemset{1 36}","Itemset{253}",0.589041,0.868687
"Itemset{1 36 143}","Itemset{253}",0.524658,0.874429
"Itemset{1 117}","Itemset{143}",0.667123,0.905204
"Itemset{1 117}","Itemset{143 253}",0.597260,0.810409
"Itemset{1 117}","Itemset{253}",0.661644,0.897770
"Itemset{1 117 143}","Itemset{253}",0.605479,0.894737
"Itemset{1 118}","Itemset{253}",0.504110,0.891041
"Itemset{1 143}","Itemset{253}",0.721918,0.903945
"Itemset{1 143 245}","Itemset{253}",0.523288,0.876147
"Itemset{1 245}","Itemset{253}",0.624658,0.882012
"Itemset{8}","Itemset{9}",0.672603,0.769592
"Itemset{8}","Itemset{17}",0.665753,0.761755
"Itemset{8}","Itemset{143}",0.717808,0.821317
"Itemset{8}","Itemset{143 253}",0.656164,0.750784
"Itemset{8}","Itemset{253}",0.798630,0.913793
"Itemset{8 9}","Itemset{143}",0.610959,0.816850
"Itemset{8 9}","Itemset{253}",0.682192,0.912088
"Itemset{8 9 17}","Itemset{143}",0.528767,0.795876
"Itemset{8 9 17}","Itemset{253}",0.594521,0.894845
"Itemset{8 9 17 143}","Itemset{253}",0.517808,0.889412
"Itemset{8 9 26}","Itemset{253}",0.556164,0.894273
"Itemset{8 9 35}","Itemset{253}",0.549315,0.889135
"Itemset{8 9 117}","Itemset{143}",0.524658,0.856823
"Itemset{8 9 117}","Itemset{253}",0.556164,0.908277
"Itemset{8 9 117 143}","Itemset{253}",0.508219,0.902676
"Itemset{8 9 143}","Itemset{253}",0.593151,0.907757
"Itemset{8 10}","Itemset{253}",0.539726,0.891403
"Itemset{8 17}","Itemset{143}",0.620548,0.796134
"Itemset{8 17}","Itemset{253}",0.697260,0.894552
"Itemset{8 17 18}","Itemset{253}",0.531507,0.871910
"Itemset{8 17 26}","Itemset{253}",0.572603,0.874477
"Itemset{8 17 35}","Itemset{143}",0.500000,0.755694
"Itemset{8 17 35}","Itemset{253}",0.575342,0.869565
"Itemset{8 17 117}","Itemset{143}",0.538356,0.852495
"Itemset{8 17 117}","Itemset{253}",0.561644,0.889371
"Itemset{8 17 117 143}","Itemset{253}",0.510959,0.883886
"Itemset{8 17 143}","Itemset{253}",0.598630,0.890020
"Itemset{8 17 245}","Itemset{253}",0.504110,0.863850
"Itemset{8 18}","Itemset{253}",0.567123,0.873418
"Itemset{8 18 143}","Itemset{253}",0.500000,0.875300
"Itemset{8 22}","Itemset{253}",0.506849,0.876777
"Itemset{8 26}","Itemset{143}",0.563014,0.772556
"Itemset{8 26}","Itemset{253}",0.649315,0.890977
"Itemset{8 26 35}","Itemset{253}",0.524658,0.864560
"Itemset{8 26 117}","Itemset{253}",0.521918,0.883991
"Itemset{8 26 143}","Itemset{253}",0.560274,0.887202
"Itemset{8 27}","Itemset{253}",0.535616,0.861233
"Itemset{8 35}","Itemset{143}",0.561644,0.770677
"Itemset{8 35}","Itemset{253}",0.646575,0.887218
"Itemset{8 35 36}","Itemset{253}",0.508219,0.872941
"Itemset{8 35 117}","Itemset{253}",0.520548,0.881671
"Itemset{8 35 143}","Itemset{253}",0.558904,0.883117
"Itemset{8 36}","Itemset{253}",0.561644,0.872340
"Itemset{8 36 143}","Itemset{253}",0.500000,0.879518
"Itemset{8 117}","Itemset{143}",0.613699,0.871595
"Itemset{8 117}","Itemset{143 253}",0.556164,0.789883
"Itemset{8 117}","Itemset{253}",0.639726,0.908560
"Itemset{8 117 143}","Itemset{253}",0.583562,0.904459
"Itemset{8 143}","Itemset{253}",0.687671,0.911071
"Itemset{8 245}","Itemset{253}",0.580822,0.890756
"Itemset{9}","Itemset{143}",0.663014,0.820339
"Itemset{9}","Itemset{143 253}",0.608219,0.752542
"Itemset{9}","Itemset{253}",0.738356,0.913559
"Itemset{9 17}","Itemset{143}",0.571233,0.797323
"Itemset{9 17}","Itemset{253}",0.641096,0.894837
"Itemset{9 17 18}","Itemset{253}",0.501370,0.875598
"Itemset{9 17 26}","Itemset{253}",0.527397,0.885057
"Itemset{9 17 35}","Itemset{253}",0.524658,0.874429
"Itemset{9 17 117}","Itemset{253}",0.520548,0.889930
"Itemset{9 17 143}","Itemset{253}",0.554795,0.890110
"Itemset{9 18}","Itemset{253}",0.539726,0.873614
"Itemset{9 26}","Itemset{143}",0.520548,0.780287
"Itemset{9 26}","Itemset{253}",0.598630,0.897331
"Itemset{9 26 143}","Itemset{253}",0.519178,0.891765
"Itemset{9 35}","Itemset{143}",0.512329,0.769547
"Itemset{9 35}","Itemset{253}",0.594521,0.893004
"Itemset{9 35 143}","Itemset{253}",0.517808,0.885246
"Itemset{9 36}","Itemset{253}",0.515068,0.880562
"Itemset{9 117}","Itemset{143}",0.568493,0.868201
"Itemset{9 117}","Itemset{143 253}",0.519178,0.792887
"Itemset{9 117}","Itemset{253}",0.595890,0.910042
"Itemset{9 117 143}","Itemset{253}",0.545205,0.904545
"Itemset{9 143}","Itemset{253}",0.639726,0.910331
"Itemset{9 245}","Itemset{253}",0.532877,0.890160
"Itemset{10}","Itemset{143}",0.534247,0.769231
"Itemset{10}","Itemset{253}",0.613699,0.883629
"Itemset{10 17}","Itemset{253}",0.556164,0.871245
"Itemset{10 35}","Itemset{253}",0.502740,0.863529
"Itemset{10 143}","Itemset{253}",0.528767,0.885321
"Itemset{11}","Itemset{253}",0.535616,0.859341
"Itemset{13}","Itemset{253}",0.558904,0.857143
"Itemset{13 17}","Itemset{253}",0.515068,0.854545
"Itemset{17}","Itemset{143}",0.734247,0.822086
"Itemset{17}","Itemset{253}",0.791781,0.886503
"Itemset{17 18}","Itemset{143}",0.558904,0.790698
"Itemset{17 18}","Itemset{253}",0.612329,0.866279
"Itemset{17 18 26}","Itemset{253}",0.500000,0.848837
"Itemset{17 18 143}","Itemset{253}",0.538356,0.871397
"Itemset{17 22}","Itemset{253}",0.506849,0.866511
"Itemset{17 26}","Itemset{143}",0.576712,0.778189
"Itemset{17 26}","Itemset{253}",0.643836,0.868762
"Itemset{17 26 35}","Itemset{253}",0.524658,0.849224
"Itemset{17 26 117}","Itemset{253}",0.510959,0.863426
"Itemset{17 26 143}","Itemset{253}",0.550685,0.866379
"Itemset{17 27}","Itemset{253}",0.520548,0.840708
"Itemset{17 35}","Itemset{143}",0.580822,0.786642
"Itemset{17 35}","Itemset{253}",0.639726,0.866419
"Itemset{17 35 117}","Itemset{253}",0.512329,0.857798
"Itemset{17 35 143}","Itemset{253}",0.553425,0.863248
"Itemset{17 36}","Itemset{143}",0.504110,0.786325
"Itemset{17 36}","Itemset{253}",0.541096,0.844017
"Itemset{17 117}","Itemset{143}",0.628767,0.886100
"Itemset{17 117}","Itemset{143 253}",0.563014,0.793436
"Itemset{17 117}","Itemset{253}",0.626027,0.882239
"Itemset{17 117 143}","Itemset{253}",0.572603,0.878151
"Itemset{17 143}","Itemset{253}",0.676712,0.885305
"Itemset{17 245}","Itemset{253}",0.579452,0.856275
"Itemset{18}","Itemset{143}",0.593151,0.784420
"Itemset{18}","Itemset{253}",0.654795,0.865942
"Itemset{18 26}","Itemset{253}",0.528767,0.844639
"Itemset{18 35}","Itemset{253}",0.528767,0.852097
"Itemset{18 117}","Itemset{143}",0.505479,0.846330
"Itemset{18 117}","Itemset{253}",0.519178,0.869266
"Itemset{18 143}","Itemset{253}",0.573973,0.869295
"Itemset{22}","Itemset{253}",0.567123,0.873418
"Itemset{23}","Itemset{253}",0.500000,0.825792
"Itemset{26}","Itemset{143}",0.665753,0.808652
"Itemset{26}","Itemset{253}",0.728767,0.885191
"Itemset{26 27}","Itemset{253}",0.547945,0.867679
"Itemset{26 35}","Itemset{143}",0.520548,0.767677
"Itemset{26 35}","Itemset{253}",0.583562,0.860606
"Itemset{26 35 143}","Itemset{253}",0.504110,0.855814
"Itemset{26 117}","Itemset{143}",0.556164,0.851153
"Itemset{26 117}","Itemset{253}",0.572603,0.876310
"Itemset{26 117 143}","Itemset{253}",0.519178,0.873272
"Itemset{26 143}","Itemset{253}",0.628767,0.884393
"Itemset{26 245}","Itemset{253}",0.539726,0.865934
"Itemset{27}","Itemset{143}",0.538356,0.766082
"Itemset{27}","Itemset{253}",0.606849,0.863548
"Itemset{27 143}","Itemset{253}",0.531507,0.866071
"Itemset{28}","Itemset{253}",0.504110,0.865882
"Itemset{35}","Itemset{143}",0.663014,0.813445
"Itemset{35}","Itemset{253}",0.721918,0.885714
"Itemset{35 36}","Itemset{143}",0.536986,0.828753
"Itemset{35 36}","Itemset{253}",0.564384,0.871036
"Itemset{35 36 143}","Itemset{253}",0.501370,0.873508
"Itemset{35 117}","Itemset{143}",0.561644,0.857741
"Itemset{35 117}","Itemset{143 253}",0.502740,0.767782
"Itemset{35 117}","Itemset{253}",0.573973,0.876569
"Itemset{35 117 143}","Itemset{253}",0.527397,0.873016
"Itemset{35 143}","Itemset{253}",0.626027,0.882239
"Itemset{35 245}","Itemset{253}",0.508219,0.856813
"Itemset{36}","Itemset{143}",0.589041,0.814394
"Itemset{36}","Itemset{253}",0.628767,0.869318
"Itemset{36 117}","Itemset{143}",0.505479,0.864169
"Itemset{36 117}","Itemset{253}",0.508219,0.868852
"Itemset{36 143}","Itemset{253}",0.561644,0.877944
"Itemset{117}","Itemset{143}",0.723288,0.918261
"Itemset{117}","Itemset{143 253}",0.650685,0.826087
"Itemset{117}","Itemset{253}",0.710959,0.902609
"Itemset{117 143}","Itemset{253}",0.652055,0.899811
"Itemset{117 245}","Itemset{253}",0.510959,0.873536
"Itemset{118}","Itemset{143}",0.535616,0.890661
"Itemset{118}","Itemset{253}",0.539726,0.897494
"Itemset{143}","Itemset{253}",0.779452,0.908946
"Itemset{143 144}","Itemset{253}",0.500000,0.894608
"Itemset{143 245}","Itemset{253}",0.557534,0.880952
"Itemset{144}","Itemset{253}",0.536986,0.890909
"Itemset{245}","Itemset{253}",0.665753,0.885246
"Itemset{246}","Itemset{253}",0.536986,0.933333
